commit,file,insertions,deletions,author,date
e1924931b5ff694273c6ad2399841a81ffd01970,src/client/hooks/useUserCourses.ts,15,7,Veikkosuhonen,2024-04-15 19:53:09+03:00
e1924931b5ff694273c6ad2399841a81ffd01970,src/server/routes/course.ts,12,2,Veikkosuhonen,2024-04-15 19:53:09+03:00
0adbcf2cd35f430d8137d10329e37c9e00c7a299,src/client/hooks/useCurrentUser.ts,1,1,Veikkosuhonen,2024-04-15 19:14:06+03:00
0adbcf2cd35f430d8137d10329e37c9e00c7a299,src/client/hooks/useFaculties.ts,1,1,Veikkosuhonen,2024-04-15 19:14:06+03:00
0adbcf2cd35f430d8137d10329e37c9e00c7a299,src/client/hooks/useUserCourses.ts,1,1,Veikkosuhonen,2024-04-15 19:14:06+03:00
955bfec1803d989c496b0845c8206d2e05917388,src/server/routes/openai.ts,181,176,Veikkosuhonen,2024-04-15 17:01:58+03:00
ee3997b150d15a82be8809742acdba839f317297,package-lock.json,3,3,Veikkosuhonen,2024-04-15 16:41:10+03:00
16d6150d9e3dbdeef150ccd9b55171c21d45519d,package-lock.json,221,301,Veikkosuhonen,2024-04-15 16:38:24+03:00
d0324b78dc860bca80bc3c05773cf1ab81fa3522,src/client/components/Admin/ChatInstances/ChatInstanceTableV2.tsx,101,74,Veikkosuhonen,2024-04-15 16:28:40+03:00
d0324b78dc860bca80bc3c05773cf1ab81fa3522,src/client/components/Admin/ChatInstances/useChatInstances.ts,13,6,Veikkosuhonen,2024-04-15 16:28:40+03:00
d0324b78dc860bca80bc3c05773cf1ab81fa3522,src/server/routes/chatInstance.ts,15,8,Veikkosuhonen,2024-04-15 16:28:40+03:00
690b19a08b3e0f0c524314b1774e80625d2a8431,src/client/components/Admin/ChatInstances/ChatInstanceTable.tsx,11,109,Veikkosuhonen,2024-04-15 15:53:20+03:00
690b19a08b3e0f0c524314b1774e80625d2a8431,src/client/components/Admin/ChatInstances/ChatInstanceTableV2.tsx,178,0,Veikkosuhonen,2024-04-15 15:53:20+03:00
690b19a08b3e0f0c524314b1774e80625d2a8431,src/client/components/Admin/ChatInstances/index.tsx,3,7,Veikkosuhonen,2024-04-15 15:53:20+03:00
690b19a08b3e0f0c524314b1774e80625d2a8431,src/client/components/Admin/ChatInstances/useChatInstances.ts,24,0,Veikkosuhonen,2024-04-15 15:53:20+03:00
690b19a08b3e0f0c524314b1774e80625d2a8431,src/client/components/Admin/index.tsx,1,1,Veikkosuhonen,2024-04-15 15:53:20+03:00
690b19a08b3e0f0c524314b1774e80625d2a8431,src/client/hooks/useChatInstanceMutation.ts,3,4,Veikkosuhonen,2024-04-15 15:53:20+03:00
690b19a08b3e0f0c524314b1774e80625d2a8431,src/server/routes/chatInstance.ts,14,2,Veikkosuhonen,2024-04-15 15:53:20+03:00
8babaa04df9ddca360668569f883af898718e79b,src/client/components/Chat/Conversation.tsx,4,1,Veikkosuhonen,2024-04-12 16:37:35+03:00
8babaa04df9ddca360668569f883af898718e79b,src/client/styles.css,4,0,Veikkosuhonen,2024-04-12 16:37:35+03:00
30090767d04fb43b463a86456e46a29215e1c57e,src/client/components/Chat/Conversation.tsx,7,5,Veikkosuhonen,2024-04-12 16:31:19+03:00
30090767d04fb43b463a86456e46a29215e1c57e,src/client/locales/en.json,2,1,Veikkosuhonen,2024-04-12 16:31:19+03:00
30090767d04fb43b463a86456e46a29215e1c57e,src/client/locales/fi.json,2,1,Veikkosuhonen,2024-04-12 16:31:19+03:00
30090767d04fb43b463a86456e46a29215e1c57e,src/client/locales/sv.json,2,1,Veikkosuhonen,2024-04-12 16:31:19+03:00
ee9e11de187dc2068f017cff93135fcb1fe79029,.env.development,3,0,Veikkosuhonen,2024-04-12 16:22:22+03:00
ee9e11de187dc2068f017cff93135fcb1fe79029,src/client/components/Chat/SystemMessage.tsx,3,3,Veikkosuhonen,2024-04-12 16:22:22+03:00
ee9e11de187dc2068f017cff93135fcb1fe79029,src/client/components/Chat/index.tsx,63,49,Veikkosuhonen,2024-04-12 16:22:22+03:00
ee9e11de187dc2068f017cff93135fcb1fe79029,src/client/components/Courses/EditCourse/EditActivityPeriod.tsx,5,2,Veikkosuhonen,2024-04-12 16:22:22+03:00
ee9e11de187dc2068f017cff93135fcb1fe79029,src/client/components/Courses/EditCourse/Prompt.tsx,2,2,Veikkosuhonen,2024-04-12 16:22:22+03:00
ee9e11de187dc2068f017cff93135fcb1fe79029,src/client/components/Courses/EditCourse/index.tsx,2,2,Veikkosuhonen,2024-04-12 16:22:22+03:00
